stop_id,stop_code,stop_name,lat,lon,Zip Codes
4359,4359,Salt Springs/Asa,30.16528,-97.741884,78744
4361,4361,Salt Springs/Orange Blossom,30.166767,-97.740756,78744
4362,4362,812 Stassney/IH 35,30.20039,-97.766394,78745
4363,4363,811 Stassney/Mira,30.200052,-97.766668,78745
4364,4364,Stassney/Mira,30.202351,-97.770825,78745
4365,4365,407 Stassney/Congress,30.202767,-97.771769,78745
4381,4381,6610 Congress/Eberhart,30.194215,-97.778449,78745
4382,4382,Pleasant Hill Station (NB),30.194535,-97.778085,78745
4384,4384,William Cannon/Skynook,30.193479,-97.780305,78745
4393,4393,609 Stassney/1st,30.208097,-97.781018,78745
4394,4394,5802 South 1st/Stassney,30.205367,-97.78315,78745
4397,4397,6800 S 1st/William Cannon,30.196414,-97.788391,78745
4398,4398,William Cannon/Bill Hughes,30.196488,-97.786118,78745
4403,4403,8600 S 1st/Hyde Park,30.176287,-97.79814,78748
4404,4404,8905 S 1st/Slaughter,30.173403,-97.798751,78748
4411,4411,Slaughter/Menchaca,30.17359,-97.822771,78748
4412,4412,Slaughter/Riddle,30.173945,-97.827352,78748
4414,4414,8700 Menchaca/Davis,30.185354,-97.816843,78748
4415,4415,8509 Menchaca/Dittmar,30.186654,-97.815648,78745
4424,4424,William Cannon/Whispering Oaks,30.203663,-97.809228,78745
4426,4426,7317 Menchaca/Gaines Mill,30.197956,-97.808456,78745
4427,4427,6110 West Gate/Luton,30.215531,-97.813866,78745
4428,4428,William Cannon/Deaton Hill,30.207901,-97.817777,78745
4429,4429,2616 William Cannon/West Gate,30.207075,-97.81479,78745
4430,4430,6900 West Gate/William Cannon,30.206182,-97.816037,78745
4431,4431,8300 West Gate/Siskin,30.196017,-97.82923,78745
4433,4433,Curlew/Kentish Drive,30.187173,-97.829818,78748
4434,4434,Curlew/Monarch,30.180091,-97.833358,78748
4435,4435,Eskew/Brodie,30.20339,-97.837717,78749
4436,4436,3101 William Cannon/Ranch,30.209995,-97.822172,78745
4437,4437,3100 William Cannon/Ranch,30.210329,-97.822279,78745
4441,4441,Copano/Clarno,30.211939,-97.84982,78749
4442,4442,Latta/Islander,30.215679,-97.849077,78749
4444,4444,4922 Convict Hill/Flaming Oak,30.217987,-97.852494,78749
4445,4445,4923 Convict Hill/Flaming Oak,30.217966,-97.852755,78749
4446,4446,5125 Convict Hill/Woodcreek,30.218895,-97.854694,78749
4447,4447,Convict Hill/Woodcreek,30.219087,-97.854773,78749
4448,4448,6701 Silvermine/SH 71,30.245996,-97.888647,78736
4453,4453,8403 Red Willow/Smokey Hill,30.24159,-97.894279,78736
4454,4454,8310 Red Willow/Smokey Hill,30.241604,-97.89409,78736
4457,4457,8525 Red Willow/Bargamen,30.240953,-97.898066,78736
4458,4458,8530 Red Willow/Selway,30.240596,-97.898425,78736
4461,4461,Red Willow/Fenton,30.236772,-97.900898,78736
4462,4462,Fenton/Red Willow,30.236672,-97.900803,78736
